abuse	missbrauch
motto	motto
mouth	mund
movie	film
murder	mord
museum	museum
music	musik
nation	nation
nature	natur
network	netzwerk
news	nachrichten
noon	mittag
number	anzahl
nurse	krankenschwester
object	objekt
observation	beobachtung
office	büro
oil	öl
opec	opec
opera	oper
operation	betrieb
oracle	orakel
organism	organismus
palestinian	palästinenser
paper	papier
party	partei
payment	zahlung
peace	frieden
people	menschen
percent	prozent
performance	leistung
personnel	personal
phone	telefon
physics	physik
place	ort
plan	plan
plane	flugzeug
planet	planet
planning	planung
popcorn	popcorn
population	bevölkerung
possession	besitz
possibility	möglichkeit
potato	kartoffel
practice	praxis
precedent	präzedenzfall
prejudice	vorurteil
preparation	vorbereitung
preservation	erhaltung
president	präsident
price	preis
problem	problem
production	produktion
professor	professor
profit	gewinn
project	projekt
prominence	bedeutung
property	immobilien
proton	proton
proximity	nähe
psychiatry	psychiatrie
psychology	psychologie
quarrel	streit
queen	königin
rabbi	rabbiner
racism	rassismus
racket	schläger
radio	radio
reason	grund
recess	nische
recognition	anerkennung
recommendation	empfehlung
record	rekord
recovery	erholung
registration	anmeldung
report	bericht
reservation	reservierung
rock	rock
rook	turm
rooster	hahn
round	runde
row	reihe
school	schule
science	wissenschaft
scientist	wissenschaftler
sea	meer
seafood	meeresfrüchte
season	saison
secret	geheimnis
secretary	sekretärin
seepage	durchsickern
senate	senat
serial	serien-
series	serie
seven	sieben
sex	sex
shore	ufer
shower	dusche
sign	zeichen
similarity	ähnlichkeit
situation	situation
size	größe
skin	haut
slave	sklave
smart	intelligent
smile	lächeln
soap	seife
soccer	fußball
software	software
space	raum
sprint	sprint
star	stern
start	start
stock	lager
stove	herd
street	straße
string	schnur
stroke	schlaganfall
student	schüler
stupid	dumm
substance	substanz
sugar	zucker
summer	sommer
sun	sonne
surface	oberfläche
tableware	geschirr
team	team
telephone	telefon
television	fernsehen
tennis	tennis
term	begriff
territory	gebiet
terror	terror
theater	theater
thunderstorm	gewitter
ticket	ticket
tiger	tiger
tool	werkzeug
tournament	turnier
trading	handel
train	zug
travel	reise
treatment	behandlung
troops	truppen
type	typ
valor	tapferkeit
victim	opfer
victory	sieg
video	video
viewer	zuschauer
virtuoso	virtuose
vodka	wodka
volunteer	freiwillige
voyage	reise
war	krieg
warning	warnung
water	wasser
wealth	reichtum
weapon	waffe
weather	wetter
wednesday	mittwoch
wine	wein
withdrawal	rückzug
wizard	zauberer
woman	frau
wood	holz
woodland	wald
word	wort
world	welt
yale	yale
year	jahr
yen	yen
zoo	zoo
